8.28E-01,7.73E-01,0
7.97E-01,7.50E-01,0
7.58E-01,7.34E-01,0
7.11E-01,7.27E-01,0
6.48E-01,6.80E-01,0
5.94E-01,6.41E-01,0
5.47E-01,6.09E-01,0.0078125
5.16E-01,5.86E-01,0.015625
4.92E-01,5.55E-01,0.02343
4.61E-01,5.16E-01,0.03125
4.30E-01,4.77E-01,0.0390625
4.06E-01,4.06E-01,0.0859375
3.59E-01,2.42E-01,0.203125
3.36E-01,1.72E-01,0.484375
3.28E-01,1.64E-01,0.671875
3.20E-01,1.56E-01,0.734375
3.13E-01,1.48E-01,0.78125
3.05E-01,1.41E-01,0.820313
2.97E-01,1.41E-01,0.835938
2.89E-01,1.33E-01,0.854563
2.81E-01,1.25E-01,0.875
2.50E-01,9.38E-02,0.875
2.34E-01,7.81E-02,0.851563
2.27E-01,7.81E-02,0.835938
2.27E-01,7.03E-02,0.8125
2.27E-01,7.03E-02,0.71875
2.19E-01,6.25E-02,0.601563
2.11E-01,5.47E-02,0.515625
2.11E-01,5.47E-02,0.429688
2.11E-01,5.47E-02,0.320313
2.11E-01,5.47E-02,0.210938
2.03E-01,4.69E-02,0.117188
1.95E-01,4.69E-02,0.0546875
1.95E-01,4.68E-02,0.0234375
1.88E-01,3.91E-02,0.015625
1.80E-01,3.91E-02,0.015625
1.72E-01,3.91E-02,0.015625
1.64E-01,2.34E-02,0.0078125
1.56E-01,2.34E-02,0.0078125
1.48E-01,2.34E-02,0.0078125
1.48E-01,2.34E-02,0.0078125
1.41E-01,2.34E-02,0.0078125
1.41E-01,2.34E-02,0.0078125
1.41E-01,2.34E-02,0.0078125
1.41E-01,2.34E-02,0.0078125
